"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","model","src/model/Card.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"2","model","src/model/Card.java","3","10","This final field could be made static","Design Rules","FinalFieldCouldBeStatic"
"3","model","src/model/Card.java","3","11","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"4","model","src/model/Card.java","3","11","This final field could be made static","Design Rules","FinalFieldCouldBeStatic"
"5","model","src/model/Card.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"6","model","src/model/Card.java","3","12","This final field could be made static","Design Rules","FinalFieldCouldBeStatic"
"7","model","src/model/Card.java","3","13","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"8","model","src/model/Card.java","3","13","This final field could be made static","Design Rules","FinalFieldCouldBeStatic"
"9","model","src/model/Card.java","3","17","Local variable 'random' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"10","model","src/model/Card.java","3","18","Avoid variables with short names like i","Naming Rules","ShortVariable"
"11","model","src/model/Card.java","3","19","Avoid variables with short names like j","Naming Rules","ShortVariable"
"12","model","src/model/Card.java","3","51","Parameter 'left' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"13","model","src/model/Card.java","3","61","Parameter 'right' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"14","model","src/model/Card.java","3","71","Parameter 'result' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"15","model","src/model/Constants.java","3","6","Avoid unnecessary constructors - the compiler will generate these for you","Controversial Rules","UnnecessaryConstructor"
"16","model","src/model/Constants.java","3","6","Document empty constructor","Design Rules","UncommentedEmptyConstructor"
"17","model","src/model/User.java","3","12","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"18","model","src/model/User.java","3","25","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"19","model","src/model/User.java","3","35","Parameter 'password' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"20","validator","src/validator/LoginValidator.java","3","13","Parameter 'component' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"21","validator","src/validator/LoginValidator.java","3","13","Parameter 'context' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"22","validator","src/validator/LoginValidator.java","3","13","Parameter 'value' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"23","validator","src/validator/LoginValidator.java","3","15","Local variable 'user' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"24","validator","src/validator/LoginValidator.java","3","18","Local variable 'message' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
